task_id	variation	gen	pass_rate	avg_cost	total_cost	timestamp
schema	v1_basic	0	1.00	0.0010	0.0029	2026-03-25T00:00:53Z
schema	v2_example	0	0.33	0.0010	0.0029	2026-03-25T00:01:09Z
schema	v3_imperative	0	1.00	0.0009	0.0028	2026-03-25T00:01:20Z
schema	v4_with_skeleton	0	1.00	0.0011	0.0032	2026-03-25T00:01:28Z
model	v1_basic	0	1.00	0.0033	0.0099	2026-03-25T00:01:50Z
model	v2_example	0	1.00	0.0035	0.0104	2026-03-25T00:02:13Z
model	v3_imperative	0	0.67	0.0032	0.0096	2026-03-25T00:02:31Z
model	v4_with_skeleton	0	1.00	0.0037	0.0110	2026-03-25T00:02:55Z
model_test	v1_basic	0	0.00	0.0035	0.0104	2026-03-25T00:03:19Z
model_test	v2_example	0	0.00	0.0044	0.0131	2026-03-25T00:04:30Z
model_test	v3_imperative	0	0.00	0.0035	0.0104	2026-03-25T00:04:54Z
model_test	v4_with_skeleton	0	0.00	0.0031	0.0092	2026-03-25T00:10:12Z
model_test	gen1-mut0	1	0.00	0.0030	0.0090	2026-03-25T00:10:48Z
model_test	gen1-mut1	1	0.00	0.0000	0.0000	2026-03-25T00:10:48Z
model_test	gen1-mut2	1	0.00	0.0009	0.0027	2026-03-25T00:11:01Z
model_test	gen2-mut0	2	0.00	0.0027	0.0082	2026-03-25T00:11:53Z
model_test	gen2-mut1	2	0.00	0.0000	0.0000	2026-03-25T00:11:53Z
model_test	gen2-mut2	2	0.00	0.0009	0.0027	2026-03-25T00:12:13Z
model_test	gen3-mut0	3	0.00	0.0052	0.0155	2026-03-25T00:13:04Z
model_test	gen3-mut1	3	0.00	0.0000	0.0000	2026-03-25T00:13:05Z
model_test	gen3-mut2	3	0.00	0.0009	0.0026	2026-03-25T00:13:13Z
main	v1_basic	0	0.00	0.0086	0.0257	2026-03-25T00:15:01Z
main	v2_example	0	1.00	0.0088	0.0264	2026-03-25T00:16:39Z
main	v3_imperative	0	0.67	0.0081	0.0243	2026-03-25T00:18:27Z
main	v4_with_skeleton	0	0.00	0.0076	0.0228	2026-03-25T00:25:02Z
